Damage 2.0/Puncture Damage	穿刺伤害
Sniper Crewman	狙击手船员
Limbo Theorem	Limbo定理
Pickups	可拾取物
Orokin Language	Orokin语
Team Bonus Consumables	团队回复用消耗品
Field Boss	乱入头目
MK1-Bo	MK1-玻之武杖
Pursuit	追击
Unleashed	释放
Expel Infested	驱逐Infested
Kubrow Mods	库狛MOD
Enemy Level Scaling	敌方等级变化规律
Sundering Weave	分裂编织
Passives	被动能力
Perrin Sequence	佩兰数列
Dive Bomb	俯冲轰炸
Gear	携带道具
Gilded Truth	镀金真相
Endurance Drift	坚忍窜升
Slip Magazine	串联弹夹
Mastery	段位
Tile Sets	地图板块
Snap Shot	速射
Kaszas	死亡使徒
Broken-War	破碎的战争之剑
Carrier Sentinel	搬运者
Magazine Warp	弹匣增幅
Corpus Tech	Corpus技师
Daily Tribute Rewards	每日献礼奖励
Peaceful Provocation	和平挑衅
Desert Skate	沙漠鳐鱼
Maximization	最大化
Voltaic Strike	伏打电能
Captain Vor (Corrupted)	Vor上尉（堕落）
Tectonic Fracture	构造裂缝
Akstiletto Prime	史提托双枪Prime
Concussion Rounds	震荡弹头
Kohm	寇恩热能枪
Secura Penta	保障潘塔
Aviator	飞行员
Reckoning	惩戒清算
Redirection (Sentinel)	精算蓄能
Retrieve	嗅索取物
Colour Picker Extension	色彩包
Kulstar	杀星
Focused Defense	重点防御
Cephalon	中枢
Sword Alone	一剑在手
The Law of Retribution	复仇法则
Hell's Chamber	地狱弹膛
Warden	典狱长
Orokin Moon	Orokin之月
Maneuvers	操控
Twilight Apothic	暮光药剂
Shattering Storm	云暴山碎
Eleventh Storm	终焉风暴
Corrupted Crewman	堕落船员
Mods	MOD
Hysteria	狂化爆发
Sentinel Cosmetics	守护外观
Hollowed Bullets	空尖弹
Arcane Energize	充沛赋能
Fired Up	过热射击
Scoliac	嵴椎节鞭
Sapping Reach	蚀能磁触
Terminal Velocity	极限速度
Vasto	瓦斯托
Mutalist Alad V Assassinate Key	异融者Alad V刺杀钥匙
The Tekelu Collection	提奇鲁外观组合包
Flailing Branch	多流抽击
Twin Kohmak	双子宼恩霰机枪
Harkonar Scope	哈库那瞄准镜
Crit Multiplier	暴击倍率
Serrated Rounds	锯刃弹头
Specter	魅影
Armored Agility	灵活装甲
Hydraulic Gauge	液压弹药
Trade	交易
Syndicate Alert	集团警报
Talons	鹰爪
Energy Channel	能量导引
Fomorian	巨人战舰
Flame Repellent	火焰防护
Lato	拉托
Mutagen Sample	样本突变原
Banish	放逐
Regen	重生
Trading	交易
Sancti Castanas	圣洁雷爆信标
Meteor Munitions	流星弹药
Once Awake	悲剧的开端
Relentless Assault	残酷打击
Corrosive Projection	腐蚀投射
Mutalist Alad V	异融者Alad V
Orokin Moon/Speed Test	速度考验
Update 19	更新19
Regulator	调整者
Latcher	粘子
Primed Heated Charge	火焰装填Prime
Shock Draga	电击疏浚兵
Default Stance	默认架式
Elixis Redeemer	救赎者镀铜外观
Executioners	行刑者
Ayatan Sculptures	Ayatan雕像
Update 14	更新14
Operation Cryotic Front	永冻晶矿前线
Boiler	痈裂者
Sweeper Prime	扫除者Prime
Landing Craft Foundry Segment	登陆艇铸造厂模组
Detonite Ampule	爆燃安瓿
Smite Corpus	毁灭Corpus
Syndicates	集团
Anemic Agility	残血敏捷
Primed Chamber	蓄力装填Prime
Stats	详细信息
Dark Split-Sword	暗黑分合剑
Ormolu Skin Bundle	镀金外观组合包
Plasma Rifle	等离子步枪
Cleanse Corpus	净化Corpus
Magistar	执法者
The Perrin Sequence	佩兰数列
Hyekka	鬣猫
Melee	近战
Arc Trap	电弧陷阱
Ack & Brunt	认知&冲击
Shuriken	手里剑
Primed Reach	剑风Prime
Dual Skana	空刃双刀
Obstacle Course	障碍训练场
Founders	创建者
Planet	星球
Arcata	阿卡塔
Forest-Camo Skin Pack	森林-迷彩外观包
Laser Rifle	激光步枪
Stalk	隐秘追踪
Dreg	无人机
Silva & Aegis	席瓦之剑&神盾
Events	活动
Maneuver	操控
Battering Maneuver	机动冲撞
Disarray	热诱弹
Assault Rifle	突击步枪
Reload Speed	装填速度
Metamorphosis	昼夜交替
System Requirements	配置需求
Foundry	铸造厂
Feral Kavat	库娃
Prisma Dual Cleavers	棱晶斩肉双刀
Smite Infested	毁灭Infested
Mind Control	精神控制
Angstrum	安格斯壮
Single-Shot	单发
Genius	天才
Prism Guard	棱彩护卫
Salvage	回收金属
Maximized Power Strength	能力强度最大化
Prova	普罗沃
Fragor Prime	重击巨锤Prime
Infested Sinew	感染肌腱
Medium Team Shield Restore	中型团队护盾回复
Anku	夺魂死神
Shotgun Mods	霰弹枪MOD
Energy Siphon	能量虹吸
Malicious Raptor	恶毒猛禽
High Voltage	高压电流
Rampart	炮座壁垒
Nikana Prime	侍刃Prime
Toxin Injector	毒素注射器
Damage 2.0/Sinew	感染肌腱
Grineer Language	Grineer语
Lobber Crawler	喷吐爬行者
Decoy	诱饵
Prime Vault	Prime宝库
Update 11	更新11
Sentinel Mods	守护MOD
Operation Gate Crash	摧毁传送门行动
Shred Shot	撕碎射击
Capacitance	电容
Blade and Whip	剑鞭
Disruptor Drone	干扰无人机
MK1-Strun	MK1-斯特朗
Flechette	箭型弹头
Maximized Power Range	能力范围最大化
Status Chance	异常触发机率
Cryotic	永冻晶矿
Corrupted Bombard	堕落轰击者
Ancient Disrupter	远古干扰者
Dera	德拉
Update 12	更新12
Dual Raza	锋月双斧
Electric Crawler	电击爬行者
Dakra Prime	达克拉Prime
Exilus Mods	劣化功能MOD
Fusion Core	融合核心
Zhuge	诸葛连弩
Hemlock Saryn Helmet	Saryn铁杉头盔
Targeting Receptor	目标感应
Vex Armor	怨怒护甲
Lua	月球
Bolto	螺钉手枪
Impact	冲击
Sound Quake	音波冲击
Speed Holster	快速切换
Argon Scope	氩晶瞄具
Prisma Liset Skin	棱晶外观Liset
Flash Accelerant	闪耀助燃
Venom Dose	猛毒附加
Hyekka Master	鬣猫驯兽师
Arctic Eximus	极寒卓越者
Simaris Helios Skin	Simaris外观赫利俄斯
Syndicate	集团
Rebound	弹跳
Maim	致残枪弹
Menticide Nyx Helmet	灭神Nyx头盔
Rift Torrent	裂隙洪流
Acrid	阿克里德
Centaur	半人马
Braton Vandal	破坏者布莱顿
Market	商店
Object (Health)	物件
Agkuza	驯象钩刃
Update 18	更新18
Shrapnel Shot	破片射击
Prisma Veritux	棱晶真理巨剑
Sentinel Loadouts	守护配装
Sinking Talon	沉没之爪
Finishing Touch	画龙点睛
Rakta Cernos	绯红西诺斯
Enemies	敌人
Twin Vipers	双子蝰蛇
Thunderbolt	雷火
Ripkas	锐卡斯
Hind	雌鹿
Drover Bursa	驱引金流恐鸟
Paralysis	瘫痪
Rime Rounds	白霜弹头
Control Module	控制模块
Body Count	杀伤计数
Rapid Resilience	极速复原
Blaze	烈焰
Hikou	飞扬
Electro Pulse	电光脉冲
Muzzle Flash	枪口闪焰
Noise Level	噪音等级
Guides of the Lotus	Lotus的指引者
Corrupted Heavy Gunner	堕落重型机枪手
Archwing Mods	Archwing机体MOD
Huras Kubrow	匿踪型库狛
Sniper Rifles	狙击步枪
Trial	试炼
Cloak Arrow	隐蔽之箭
Volatile Runner	爆炸奔跑者
Expel Corpus	驱逐Corpus
Corrupted Butcher	堕落屠夫
Corpus Gas City	Corpus燃气城市
Grineer Warden	Grineer典狱长
Crushing Ruin	月落乌啼
Vulcan Blitz	火神闪击
Halikar	哈利卡
Null Star	湮灭流星群
Update 8	更新8
Spellbind	迷尘
Balor Fomorian	巴罗尔巨人战舰
Event Reward	活动奖励
Invisibility	隐形
Embolist	安柏勒斯
Rakta Dark Dagger	绯红暗黑匕首
Warframe	战甲
Mining Machine	采矿车
Settings	选项
Fragor	重击巨锤
Toxic Lash	剧毒鞭苔
Player vs. Player (PvP)	玩家间对抗
Armored Acrobatics	杂技装甲
Mutagen Mass	突变原聚合物
aim	瞄准
Drekar Heavy Gunner	龙舰重型机枪手
Warframe Cosmetics	战甲外观
Damage 2.0/I. Flesh	感染肉体
Smite	惩击
Spring-Loaded Chamber	簧压膛室
Undying Will	不朽意志
Follow Through	贯彻始终
Blazing Steel	炽烈坚刃
Stug	史特克
Vectis	守望者
Finishing	终结
Stunning Speed	慑人神速
Detect Vulnerability	弱点侦测
Rescue	救援
Archwing Abilities	Archwing技能
High Noon	正午
Sand Shadow	沙土幽灵
Hysteria (Stance)	狂化爆发（架式）
Seer	预言者
Desecrate	亵渎
Artemis Bow	月神狩弓
Stealth	偷袭
Telos Boltace	终极螺钉拐刃
Carrier Prime	搬运者Prime
Grineer Sealab	Grineer深海研究所
Repeater Clip	转轮弹匣
Sandstorm	吞天沙暴
Fatal Acceleration	致死加速
Ballistica	布里斯提卡
desecrate	亵渎
Push & Pull	探推-挽拉
Alliance	联盟
Furor	狂怒
Dual Stat Mods	双属性MOD
Infected Clip	污染弹匣
Primed Bane of Grineer	灭亡Grineer Prime
Corpus Outpost	Corpus哨站
MOA Cabinet Spawner	恐鸟储存柜
Cephalon Capture	夺取中枢
Power of Three	三幂之力
Avalanche	雪崩
Carapace	外壳
Tesla Link	特斯拉陷阱
Cipher	破解器
Karak Wraith	亡魂卡拉克
Brood Mother	病变虫母
Bombard	轰击者
Manticore	蝎尾狮重斧外观
Weapon	武器
Rift Walk	裂隙漫游
missions	任务
Credit	现金
Battalyst	武装使
Chorus Banshee Helmet	合音Banshee头盔
Grineer Galleon	Grineer巨舰
Prisma Mech Head Sentinel Mask	棱晶机甲头盔面具
Loose Chamber	松弛枪膛
Thumper (Elytron)	轰击
Melee 2.0	近战
Mission	任务
Drekar Ballista	龙舰弩炮
Lesion	病变
Acid Shells	酸性弹壳
Warhead	毁灭弹头
Junction	接合点
Afterburn	续燃
Dojo	道场
Cleanse Infested	净化Infested
Primed Mods	Prime版MOD
Armored Evade	闪避装甲
Disarm	解除武装
Entropy	熵数
Furious Javelin	狂怒标枪
Confusion	迷惑
Scarab Swarm	圣甲虫群
Energy Inversion	能量转化
Genetic Code Template	基因密码模板
Shield Disruption	护盾瓦解
Antitoxin (Mod)	毒抗
Hybrid	多形态武器
Steel Fiber	金属纤维
Piercing Caliber	穿甲口径
Primed Pressure Point	压迫点Prime
Staff	杖
Legendary Mods	传说MOD
Knockdown	击倒
Marathon	马拉松
Rubedo-Lined Barrel	红晶枪管
weapon	武器
Arid Trooper	沙漠骑兵
Slide	滑行时
Embedded Catalyzer	内置触媒
Update 17	更新17
Hellion	恶徒
Tileset	地图板块
Diriga	电气浮囊
Prisma Hecate Syandana	棱晶朔月女神披饰
Tail Wind	顺风
Tower	堡垒
Opticor	奥堤克光子枪
Draga	疏浚兵
Tekko	铁钩手甲
Raksa Kubrow	防护型库狛
Destreza	技巧之剑
Snow Globe	冰雪护罩
Supra	苏普拉
Latron Wraith	亡魂拉特昂
Crawler	爬行者
Damage 2.0/Impact Damage	冲击伤害
Mobile Defense	移动防御
Cell	小队
Petrify	石化凝视
Team Ammo Restore	团队弹药回复
Explosive Barrel	炸药桶
Vile Precision	极恶精准
Shock	电击
Corvette	护卫舰
Dual Rounds	双重弹头
Night Stalker	暗夜追迹者
Update 7	更新7
Critical Delay	关键延迟
Emplacement Weapons	场景武器
Team Energy Restore	团队能量回复
Large Team Energy Restore	大型团队能量回复
Karak	卡拉克
Shield Lancer	盾枪兵
Vasto Prime	瓦斯托Prime
Sobek	鳄神
Adept Surge	跃浪好手
Melee Combo Counter	近战连击数
Swirling Tiger	旋风虎击
Sonar	声纳
Sleep Arrow	沉睡之箭
Assault Rifle Mods	突击步枪MOD
Speed	加速
Neutralize	啃咬压制
Hyena Pack	鬣狗群
Maggot	蛆虫
Tethra's Doom	泰斯拉末日
Shelter	庇护
Meso	前纪
Game Modes	游戏模式
Charger	疾冲者
Pistol Pestilence	瘟疫手枪
Hallowed Ground	神圣领域
Energy Vampire	能量吸取
Primed Bane of Corpus	灭亡Corpus Prime
Color Pack Alpha	颜料包A
Drac Chroma Helmet	奇克Chroma头盔
Manic Bombard	狂躁轰击者
Hive	清巢
Seeking Force	狂暴追猎
Tranquil Cleave	秋风落叶
Punch Through (Mechanic)	穿透
Counterweight	平衡配重
Spira Prime	旋刃飞刀Prime
Sawtooth Clip	锯齿弹链
Tribute	献灵
Akbronco Prime	野马双枪Prime
resources	资源
Swipe	挥击
Primed Shotgun Mutation	霰弹枪弹药转换Prime
Sprint Boost	冲刺提升
Creeping Terrify	缓动惊骇
Dex Sybaris	Dex席芭莉丝
Electric	电击
Paracyst	附肢寄生者
Magnum Force	重装火力
Commander	指挥官
Concealed Explosives	隐蔽爆破
Puncture	穿刺
Rift Plane	裂隙位面
Kestrel	红隼
Uncommon	罕见
Resonating Quake	共鸣地震
Coolant Leak	冷却液外泄
Security Camera	监控摄像头
Spy	间谍
Titanic Rumbler	巨大石者
Heat	火焰
Mire	米尔
Earth	地球
Super Jump	超级弹跳
Curative Undertow	疗愈漩涡
Blind Rage	盲怒
Quanta Vandal	破坏者量子切割器
Glaive	战刃
Polymer Bundle	聚合物束
Rahk Fluctus	巨浪拉克外观
Automatic	全自动
Howl of the Kubrow	库狛取得任务
Arcane	秘奥
Tysis	啐沫者
Primal Rage	原始暴怒
Turbulence	疾风湍流
Boltace	螺钉拐刃
Beacons	信标
Shield-Hellion Dargyn	护盾恶徒轻型艇
MK1-Furis	MK1-盗贼
Frail Momentum	虚弱动能
Drahk	爪喀
Latron Prime	拉特昂Prime
Jet Stream	急流
Orokin Catalyst	Orokin催化剂
Prime Eos Chest Plate	曙光女神胸甲Prime
Glossary	游戏用语
Cyngas	合成燃气炮
Serration	膛线
Parry	格挡
Vulkar	金工火神
Broken War	破碎的战争之剑
Critical Deceleration	降速爆击
Frigate	驱逐舰
Radiant Finish	终结闪光
Bladed Rounds	尖刃弹头
Bounce	弹跳平台
Focus Lens	专精晶体
Excavation	挖掘
Sedna	赛德娜
Malignant Force	致命火力
Warding Halo	混天火绫
Energy Lab	能源实验室
Shotgun Sidearm	副手霰弹枪
Burst Laser	激光点发
Lancer	枪兵
Mine Osprey	地雷鱼鹰
Roller	滚子
Cataclysm	灾变
Stance	架式
Grineer Forest	Grineer丛林
Shield	护盾
Scattered Justice	散射正义
Gammacor	咖玛腕甲枪
Grinlok	葛恩火枪
Greedy Pull	贪婪吸引
Heavy Trauma	重创
Reaper	收割者
Europa	欧罗巴
Transmutation	转换
Kuria	库利亚猫神器
Wildfire	野火
Scattering Inferno	炼狱轰击
Peacemaker	和平使者
Self Destruct	自爆
Defy	死命顽抗
The Archwing	Archwing
Divine Spears	圣火尖枪
Gleaming Talon	微光利爪
Rhino Charge	犀牛冲锋
Serro	电能斩锯
Ironclad Charge	铁甲冲锋
Void	虚空
Arc Coil	电弧线圈
Rifle Ammo Mutation	步枪弹药转换
Kronen	皇家拐刃
Fusion Drone	熔岩无人机
Tidal Impunity	潮汐涌净
Pyra Sugatra	珮菈坠饰
Reflex Draw	反射拔枪
Arcane Trickery	诡计赋能
Common	常见
Tellurium	碲
Calm & Frenzy	冷静与疯狂
Daikyu	大久和弓
Kinetic Siphon Traps	动能吸收陷阱
Secura Dual Cestra	保障锡斯特双枪
Prisma Grakata	棱晶葛拉卡达
Cutting Edge	切割刃缘
Synoid Simulor	枢议重力奇点拟成枪
Resources	资源
Ancient Healer	远古治愈者
Brakk	布拉克
Somatic Link	活体连接器
Jaw Sword	蛇颚刀
Polarize	护盾极化
Barrel Diffusion	弹头扩散
Bastet Valkyr Helmet	芭丝特Valkyr头盔
Informant Event	Grineer通报者
Panthera	猎豹
Eagle Eye	鹰眼
Defiled Snapdragon	积秽骁龙
Marelok	玛瑞火枪
Akstiletto	史提托双枪
Bo	玻之武杖
Fever Strike	狂热打击
The Silver Grove	落银树庭
Rare	稀有
Bugs	漏洞
Arid Fear Event	沙漠恐惧
Calculated Spring	精准弹跳
Tentacle Swarm	触角肆虐
Jordas Golem	Jordas魔像
Carrier	搬运者
Enemy Behavior	敌方行为
Tar-Mutalist MOA	异融焦油恐鸟
Rush (Archwing)	突袭
Proto-Glaive Skin	战刃原型外观
Neutron Star	中子星爆
Shield Osprey	护盾鱼鹰
Core Vent	核心通气
Master Thief	盗贼大师
Spark	火花
Flux Nova Helmet	通量Nova头盔
Spore	毒性孢子
Strafing Slide	滑行扫射
Fusion	融合
Infested Ship	Infested飞船
Exalted Blade (Stance)	显赫刀剑（架式）
Reach	剑风
Spectra	光谱切割器
Hacking	骇入
Claws	双爪
Cleaving Whirlwind	孤刃回天
Aksomati	轻灵月神双枪
Ice Wave Impedance	滞痕冰浪
Misery	苦难
Iron Skin	钢化皮肤
Lato Prime	拉托Prime
Tigris Prime	猛虎Prime
Magazine Extension	扩容弹夹
Agile Aim	机动瞄准
Molecular Prime	分子填充
Elite Frontier Lancer	精英前线枪兵
Corpus Trench Run	Corpus战壕追逐
Targeting Subsystem	定位辅助
Skins	外观
Shredder	粉碎器
Pherliac Pod	费洛髂荚囊
Bounty Hunter	赏金猎人
Loose Magazine	松弛弹匣
Fury	狂暴
Trade System	交易系统
Tear Gas	催泪毒雾
Prisma Jet Sentinel Wings	棱晶喷射机翼
Blood Rush	急进猛突
Radial Disarm	解除武装
Piercing Hit	穿甲伤害
Movement Speed	移动速度
Diamond Skin	钻石皮肤
Sentinels	守护
Shotgun Savvy	通晓霰弹枪
Orokin Cell	Orokin电池
Ballistic Battery	弹道蓄能
Thief's Wit	盗贼天赋
Sunlight Jadeleaf	日光玉叶
Synthesis Scanner	结合扫描器
Primed Continuity	持久力Prime
Perpetual Agony	永恒痛苦
Dual Broncos	野马双枪
Boltor Prime	螺钉步枪Prime
Spy 2.0	间谍
Guardsman	禁卫军
Solar Rail	星际航道
Tonbo	蜻蜓薙
Hydraulic Barrel	液压枪管
Burston	伯斯顿
Full Contact	全面接触
Ankyros	甲龙双拳
Armored Recovery	复原装甲
Void Trader	虚空商人
Arcane Enhancements	赋能
Common Mods	常见MOD
Dethcube	死亡魔方
Hidden Messages	被隐藏的信息
Terrify	惊骇
Akbolto	螺钉双枪
Crewman	船员
Ammo Drum	弹鼓
Efficient Transferral	高效传输
Eclipse	黯然失色
Fireball Frenzy	狂热火球
Chaos	混乱
Maul	捶击
Primal Fury	原始狂怒
Iron Jab	神针突刺
Virulent Scourge	剧毒灾害
Twin Basolk	双子巴萨克
Weapons Required as Crafting Ingredients	可用于铸造的武器
Tainted Clip	感染弹匣
Charged Shell	充电弹头
Gleaming Blight	毁坏微光
Buzz Kill	败兴虐杀
Viper	蝰蛇
Sweeping Serration	扫荡锯齿
Circuits	电路
Radiation Damage	辐射伤害
Charged Chamber	蓄力装填
Crossfire	多方交战
AkJagara	觉醒双枪
Vor's Prize	Vor的战利品
Scorpion Ash Helmet	毒蝎Ash头盔
Enemy Sense	敌人感应
Reaper Prime	收割者Prime
Shield Dargyn	护盾轻型艇
Kohmak	寇恩霰机枪
Patagium	翼膜
Emotes	表情动作
Focus Energy	聚焦能量
Energy Shell	能量护罩
Gauss Mag Helmet	高斯Mag头盔
Enemy Body Parts	敌人身体部位
Impenetrable Offense	绝壁强攻
Sortie	突击
Kubrow	库狛
Energy	能量
Seismic Palm	震撼冲拳
Grineer Asteroid	Grineer小行星
Pacify & Provoke	轻抚-激怒
Transference Room	传识之间
Uranus	天王星
Bronco Prime	野马Prime
the Cicero Crisis	西塞罗危机
Crash Course	连续冲击
Reaping Spiral	收割螺旋
Defiled Reckoning	亵渎清算
Shield Restore	护盾回复
Vazarin Mods	Vazarin极性MOD
Slash Dash	突斩
Warframe Helmet Blueprint	战甲头盔蓝图
Exalted Blade	显赫刀剑
Shock Camo Pack	闪电迷彩包
Malice	怨恨
Harkonar	行刑者Harkonar
Kraken	北海巨妖
Velocitus	极速电磁步枪
The Cicero Crisis	西塞罗危机
Kavasa Prime	喀婆萨Prime
Spores	毒性孢子
Lucky Shot	幸运射击
Sunrise Apothic	日升药剂
Pulse Volt Helmet	脉冲Volt头盔
Twin Gremlins	双子小精灵
Codex Scanner	扫描器
Key Bindings	按键绑定
Frostbite	结霜侵蚀
Rising Storm	风起云涌
Argon Plating	氩晶装甲
Damage	伤害
Strun Wraith	亡魂斯特朗
Tech	Corpus技师
Endless Defense Missions	防御
Napalm	火焰轰击者
Spare Parts	残余
Rift Surge	裂隙涌流
Latron	拉特昂
Fireball	火球
Patch History	更新历史
Warm Coat	保温服
Scorpion	天蝎
Systems	系统
Atterax	阿特拉克斯
Corrupted Vor	堕落Vor
Arid Hellion	沙漠恶徒
Phobos	火卫一
Molt	蜕皮
Gemini Nikana Sheath	双子侍刃刀鞘
Nullifier Crewman	虚能船员
Jolt	电流震击
Trooper	骑兵
Augmented Weapons	强化武器
Swarm Mutalist MOA	异融胞群恐鸟
Fanged Fusillade	尖牙连射
Discharge Strike	卸能打击
Scavenger Drone	清道夫无人机
Reflex Guard	反射防御
Wyrm	蛟龙
Miter	米特尔
Orokin Lab	Orokin实验室
Nukor	努寇微波枪
Akvasto	双持瓦斯托
Corpus Language	Corpus语
Tritium Battery	氚电池
The Jordas Precept	Jordas枢律
Cerata	裸鳃刃
Heated Charge	火焰装填
Skana Prime	空刃Prime
Entropy Spike	熵数尖钉
Duel	决斗
Reflection	反射
Toxic Flight	剧毒飞腾
Landing Craft	登陆艇
Blazing Chakram	乾坤火圈
Gorgon	蛇发女妖
Orokin Turret	Orokin炮塔
Shock Trooper	电击震荡
Smite Grineer	毁灭Grineer
Hallowed Reckoning	神圣清算
Purging Slash	净化斩
Specter (Tenno)	魅影（友方）
Convectrix	导热聚焦枪
Shatter Shield	破碎护盾
Whip	鞭
Fang Prime	狼牙Prime
Decaying Key	腐朽龙钥
Eviscerator	开膛者
Status Effect	异常状态
Elemental Ward	元素隔离
Soul Punch	灵魂重击
Final Harbinger	最终先驱
Hysterical Assault	狂化突击
In Air	在空中
Imperator	凯旋将军
Savage Silence	残酷无息
Tactics	应对技巧
Clashing Forest	巨林冲击
Corrupted MOA	堕落恐鸟
Acolyte	追随者
Stolen Dreams	被偷走的梦
Combustion Rounds	燃烧弹头
Tennogen Weapon Skin Bundle	Tennogen武器外观组合包
Corrupt Charge	邪恶蓄力
Fast Deflection	快速充能
Quotes	语录
Kama	短柄战镰
Martial Fury	狂暴尚武
Kotara	窟窿
Physique	体魄
Vulklok	金工火枪
Medi-Ray	医疗射线
Bleeding Key	残血龙钥
Color Picker Extension	调色板
Shield Overload	护盾过载
Vicious Frost	蚀骨寒霜
Nightmare Mode Mods	噩梦MOD
Territorial Aggression	侵略领土
Shotgun Spazz	表演时间
Viral Damage	病毒伤害
Credit Booster	现金加成
Feral Kubrow	库狛（野生）
Jupiter	木星
Hysteria (Weapon)	狂化爆发（武器）
Councilor Vay Hek	Vay Hek议员
Thumper	重击者
Holiday Content	节日特供
Tectonics	大地构筑
Aiming at Downed Enemy	对着倒地敌人
Updateme	待更页面
Warrior	战士
Cryo Rounds	低温弹头
Detron Crewman	德特昂船员
Neural Sensors	神经传感器
Color Palettes	色彩包
Karyst	凯洛斯特
Codex	资料库
Mios	牝狮神
Djinn Sentinel	引灵
Boltor	螺钉步枪
Spoiled Strike	腐坏打击
Singularity	奇异点
War	战争之剑
Searing Steel	炽燃钢铁
Vigor	活力
Corpus Ship	Corpus飞船
Spira	旋刃飞刀
Gaia's Tragedy	母神的悲剧
Hammer Shot	重锤射击
Adhesive Blast	凝胶爆破
Sensor Regulator	感应调整者
Full Capacity	充量弹容
Synoid Syandana	塞诺德披饰
Bleedout	濒死
Storage Containers	储存容器
Event	活动
Attack Multalist	发射感染孢子
Medium Team Heal Restore	中型团队医疗回复
Archwing Maneuvers	Archwing操控
Large Team Ammo Restore	大型团队弹药回复
Pluto	冥王星
Lunaro	月动球
Ripper Rounds	撕裂弹头
Atomos	原子矿融砲
Desiccation	枯沙竭血
Rupture	破裂
Damaged Mods	受损的MOD
Corpus Warden	Corpus典狱长
Primed Slip Magazine	串联弹夹Prime
Intruder	入侵者
Machinery	机械
Rifle Mods	步枪MOD
Sheev	希芙
Zipline	滑索
Pangolin Sword	鲮鲤剑
Grineer Shipyard	Grineer船坞
Charm	魅力
Ferrite Armor	铁质装甲
Large Team Heal Restore	大型团队医疗回复
Sikula	水雷无人机
Drekar Eviscerator	龙舰开膛者
Convulsion	痉挛
Sydon	恶龙
Navigator	导向抛体
Ammo Stock	霰弹扩充
Mods 2.0	MOD
Calculated Shot	精算射击
Free Space	外太空
Boar Prime	野猪Prime
Scindo Prime	分裂斩斧Prime
Smoke Shadow	庇护烟幕
Tipedo	提佩多
Orthos	欧特鲁斯
Rage	狂暴化
The New Strange	新疑谜团
Tiberon	狂鲨
